"","model_name","make_year","car_price","age"
"226","Ford Fusion",2017,12427,3
"227","Ford Fusion",2016,7989,4
"228","Ford Fusion",2020,18678,0
"229","Ford Fusion",2013,5939,7
"230","Ford Fusion",2019,15946,1
"231","Ford Fusion",2015,9900,5
"232","Ford Fusion",2015,12495,5
"233","Ford Fusion",2010,6993,10
"234","Ford Fusion",2019,14687,1
"235","Ford Fusion",2020,16500,0
"236","Ford Fusion",2013,7940,7
"237","Ford Fusion",2018,13676,2
"238","Ford Fusion",2013,9988,7
"239","Ford Fusion",2012,7995,8
"240","Ford Fusion",2012,9590,8
"241","Ford Fusion",2016,9980,4
"242","Ford Fusion",2014,6998,6
"243","Ford Fusion",2019,14993,1
"244","Ford Fusion",2014,9299,6
"245","Ford Fusion",2010,6491,10
"246","Ford Fusion",2019,13995,1
"247","Ford Fusion",2018,16502,2
"248","Ford Fusion",2015,8993,5
"249","Ford Fusion",2015,9990,5
"250","Ford Fusion",2017,13900,3
"251","Ford Fusion",2019,15200,1
"252","Ford Fusion",2007,4985,13
"253","Ford Fusion",2019,14100,1
"254","Ford Fusion",2019,12704,1
"255","Ford Fusion",2015,10400,5
"256","Ford Fusion",2019,14660,1
"257","Ford Fusion",2019,20550,1
"258","Ford Fusion",2015,9287,5
"259","Ford Fusion",2019,11995,1
"260","Ford Fusion",2019,14995,1
"261","Ford Fusion",2018,14981,2
"262","Ford Fusion",2014,10980,6
"263","Ford Fusion",2008,2988,12
"264","Ford Fusion",2010,5180,10
"265","Ford Fusion",2019,17477,1
"266","Ford Fusion",2019,19897,1
"267","Ford Fusion",2013,7495,7
"268","Ford Fusion",2016,8995,4
"269","Ford Fusion",2019,15781,1
"270","Ford Fusion",2008,3995,12
"271","Ford Fusion",2018,14998,2
"272","Ford Fusion",2017,12896,3
"273","Ford Fusion",2015,7999,5
"274","Ford Fusion",2013,6995,7
"275","Ford Fusion",2014,6500,6
"276","Ford Fusion",2010,4850,10
"277","Ford Fusion",2019,15900,1
"278","Ford Fusion",2019,18900,1
"279","Ford Fusion",2019,17700,1
"280","Ford Fusion",2014,12590,6
"281","Ford Fusion",2015,9988,5
"282","Ford Fusion",2017,12748,3
"283","Ford Fusion",2019,12999,1
"284","Ford Fusion",2019,15499,1
"285","Ford Fusion",2010,7995,10
"286","Ford Fusion",2017,10981,3
"287","Ford Fusion",2019,15699,1
"288","Ford Fusion",2014,8554,6
"289","Ford Fusion",2015,8897,5
"290","Ford Fusion",2017,8990,3
"291","Ford Fusion",2019,18543,1
"292","Ford Fusion",2019,13986,1
"293","Ford Fusion",2013,5995,7
"294","Ford Fusion",2012,6995,8
"295","Ford Fusion",2016,9996,4
"296","Ford Fusion",2016,8750,4
"297","Ford Fusion",2014,7500,6
"298","Ford Fusion",2014,13500,6
"299","Ford Fusion",2019,16882,1
"300","Ford Fusion",2019,16981,1
"301","Ford Fusion",2019,15991,1
"302","Ford Fusion",2019,14494,1
"303","Ford Fusion",2019,18394,1
"304","Ford Fusion",2010,5990,10
"305","Ford Fusion",2018,12000,2
"306","Ford Fusion",2010,5901,10
"307","Ford Fusion",2019,16997,1
"308","Ford Fusion",2017,10955,3
"309","Ford Fusion",2012,7499,8
