model_name,make_year,car_price,car_description,location,car_colour
Ford Fusion,2017,10999,"No accidents, 1 Owner, Personal use","Colton, CA","Silver exterior, Black interior"
Ford Fusion,2013,5988,"No accidents, 2 Owners, Personal use","Merritt Island, FL","Red exterior, Unknown interior"
Ford Fusion,2019,14937,"No accidents, 1 Owner, Fleet use","Blackfoot, ID","Black exterior, Black interior"
Ford Fusion,2017,10388,"No accidents, 1 Owner, Fleet use","Orange, CA","White exterior, Black interior"
Ford Fusion,2008,1840,"No accidents, 4 Owners, Fleet use","Anniston, AL","Unknown exterior, Unknown interior"
Ford Fusion,2014,11500,"No accidents, 3 Owners, Fleet use","Fredericksburg, VA","Gray exterior, Black interior"
Ford Fusion,2019,15995,"No accidents, 1 Owner, Personal use","El Paso, TX","Silver exterior, Black interior"
Ford Fusion,2014,8800,"No accidents, 1 Owner, Personal use","Little Rock, AR","Unknown exterior, Black interior"
Ford Fusion,2007,3250,"No accidents, 2 Owners, Personal use","Lexington, NC","Maroon exterior, Unknown interior"
Ford Fusion,2017,10999,"No accidents, 1 Owner, Personal use","Colton, CA","Gray exterior, Black interior"
Ford Fusion,2019,17654,"No accidents, 1 Owner, Personal use","Vienna, VA","Gray exterior, Black interior"
Ford Fusion,2015,9990,"No accidents, 2 Owners, Personal use","San Jose, CA","Blue exterior, Beige interior"
Ford Fusion,2017,9500,"No accidents, 1 Owner, Personal use","Lewisville, TX","Gray exterior, Black interior"
Ford Fusion,2017,10991,"No accidents, 3 Owners, Fleet use","Indianapolis, IN","Silver exterior, Black interior"
Ford Fusion,2019,12996,"No accidents, 1 Owner, Personal use","Wappingers Falls, NY","Red exterior, Unknown interior"
Ford Fusion,2019,14790,"No accidents, 2 Owners, Fleet use","Cairo, GA","Unknown exterior, Unknown interior"
Ford Fusion,2012,7285,"2 accidents, 2 Owners, Personal use","Sanford, FL","Red exterior, Black interior"
Ford Fusion,2010,3270,"No accidents, 3 Owners, Fleet use","New Athens, IL","Black exterior, Black interior"
Ford Fusion,2011,4950,"No accidents, 3 Owners, Fleet use","Austin, TX","Black exterior, Unknown interior"
Ford Fusion,2014,7650,"No accidents, 2 Owners, Fleet use","Seattle, WA","White exterior, Black interior"
Ford Fusion,2017,11979,"No accidents, 3 Owners, Fleet use","Deland, FL","White exterior, Gray interior"
Ford Fusion,2010,7995,"No accidents, 1 Owner, Personal use","Milwaukie, OR","White exterior, Black interior"
Ford Fusion,2018,13299,"No accidents, 1 Owner, Fleet use","Selma, TX","Silver exterior, Unknown interior"
Ford Fusion,2018,11450,"No accidents, 1 Owner, Personal use","Colton, CA","Silver exterior, Black interior"
Ford Fusion,2017,13798,"No accidents, 1 Owner, Fleet use","Houston, TX","Black exterior, Black interior"
Ford Fusion,2013,13590,"No accidents, 4 Owners, Fleet use","Blue Mound, TX","Unknown exterior, Black interior"
Ford Fusion,2016,9931,"1 accident, 3 Owners, Fleet use","Swainsboro, GA","Silver exterior, Gray interior"
Ford Fusion,2010,8911,"1 accident, 1 Owner, Personal use","Barrington, IL","White exterior, Black interior"
Ford Fusion,2016,11595,"No accidents, 2 Owners, Fleet use","Denver, CO","Black exterior, Black interior"
Ford Fusion,2013,10795,"No accidents, 2 Owners, Personal use","Newport News, VA","Red exterior, Black interior"
Ford Fusion,2014,11990,"No accidents, 4 Owners, Personal use","Blue Mound, TX","White exterior, Black interior"
Ford Fusion,2015,9900,"1 accident, 2 Owners, Personal use","Tampa, FL","White exterior, Black interior"
Ford Fusion,2013,6995,"No accidents, 3 Owners, Fleet use","Tucson, AZ","Maroon exterior, Black interior"
Ford Fusion,2016,11988,"No accidents, 2 Owners, Personal use","Roseville, CA","Black exterior, Unknown interior"
Ford Fusion,2019,16491,"No accidents, 1 Owner, Personal use","Oklahoma City, OK","Unknown exterior, Unknown interior"
Ford Fusion,2017,12991,"No accidents, 1 Owner, Fleet use","Peoria, AZ","Silver exterior, Black interior"
Ford Fusion,2017,9450,"No accidents, 1 Owner, Personal use","Redgranite, WI","Gray exterior, Black interior"
Ford Fusion,2019,13499,"No accidents, 1 Owner, Personal use","Bellingham, WA","White exterior, Black interior"
Ford Fusion,2019,17000,"1 accident, 1 Owner, Personal use","Grapevine, TX","Silver exterior, Black interior"
Ford Fusion,2013,8000,"No accidents, 4 Owners, Fleet use","Lakewood, CO","Maroon exterior, Unknown interior"
Ford Fusion,2013,7495,"No accidents, 1 Owner, Personal use","San Benito, TX","White exterior, Unknown interior"
Ford Fusion,2010,4858,"No accidents, 1 Owner, Personal use","Kennesaw, GA","White exterior, Gray interior"
Ford Fusion,2013,8489,"1 accident, 2 Owners, Personal use","Las Vegas, NV","White exterior, Unknown interior"
Ford Fusion,2019,15900,"No accidents, 1 Owner, Personal use","Albuquerque, NM","White exterior, Black interior"
Ford Fusion,2016,9990,"No accidents, 2 Owners, Personal use","Watchung, NJ","Black exterior, Black interior"
Ford Fusion,2016,8995,"No accidents, 2 Owners, Personal use","Greeley, CO","Black exterior, Black interior"
Ford Fusion,2013,8150,"No accidents, 4 Owners, Personal use","Chino, CA","Silver exterior, Unknown interior"
Ford Fusion,2008,3999,"No accidents, 2 Owners, Personal use","Littleton, CO","Black exterior, Black interior"
Ford Fusion,2019,15456,"No accidents, Personal use","Chesterfield, MI","Gold exterior, Gray interior"
Ford Fusion,2017,12696,"No accidents, 1 Owner, Fleet use","Madison Heights, MI","White exterior, Black interior"
Ford Fusion,2019,15990,"1 accident, 1 Owner, Personal use","Hollywood, FL","Gold exterior, Brown interior"
Ford Fusion,2020,16995,"No accidents, 1 Owner, Personal use","White Plains, NY","Silver exterior, Black interior"
Ford Fusion,2016,8900,"No accidents, 1 Owner, Personal use","Virginia Beach, VA","White exterior, Unknown interior"
Ford Fusion,2019,14447,"No accidents, 1 Owner, Personal use","Valencia, CA","Silver exterior, Black interior"
Ford Fusion,2014,9295,"No accidents, 3 Owners, Fleet use","Aberdeen, MD","Green exterior, Unknown interior"
