"id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms_text","bedrooms","beds","price","minimum_nights","number_of_reviews","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","Air_conditioning","Baby_monitor","Baby_safety_gates","Bathtub","Bed_linens","Breakfast","Building_staff","Carbon_monoxide_alarm","Changing_table","Children\u2019s_dinnerware","Cleaning_before_checkout","Coffee_maker","Cooking_basics","Dedicated_workspace","Dishes_and_silverware","Elevator","Essentials","Ethernet_connection","EV_charger","Extra_pillows_and_blankets","Fire_extinguisher","First_aid_kit","Free_residential_garage_on_premises","Game_console","Garden_or_backyard","Gym","Hangers","High_chair","Host_greets_you","Hot_tub","Hot_water","Indoor_fireplace","Iron","Kitchen","Lockbox","Long_term_stays_allowed","Luggage_dropoff_allowed","Microwave","Nespresso_coffee_machine","Outlet_covers","Patio_or_balcony","Private_entrance","Room-darkening_shades","Single_level_home","Smoke_alarm","Waterfront","stove_agg","Wifi_agg","TV_agg","oven_agg","refrigerator","soap_agg","BBQ_agg","toys_agg","crib_agg","parking_agg","shampoo_agg","heating_agg","washer_agg","conditioner_agg","dry_agg"
222516,"De Baarsjes - Oud-West",52.3611,4.85894,"Entire apartment","Entire home/apt",2,"1.5 baths",1,1,113,3,130,"2011-10-17","2020-09-04",94,10,10,10,10,9,9,"f",1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1
246750,"Centrum-West",52.36773,4.88983,"Entire apartment","Entire home/apt",4,"2 baths",2,2,220,30,21,"2011-12-30","2014-08-05",98,10,10,10,10,10,9,"f",0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
250751,"Oostelijk Havengebied - Indische Buurt",52.3661,4.93299,"Entire apartment","Entire home/apt",2,"1 bath",1,1,79,4,110,"2014-09-25","2020-03-11",92,10,10,9,10,9,9,"f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
254800,"Centrum-West",52.37131,4.88206,"Entire apartment","Entire home/apt",2,"1.5 baths",1,1,296,3,49,"2013-05-14","2020-02-23",98,10,10,10,10,10,9,"f",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
256670,"De Baarsjes - Oud-West",52.35941,4.85995,"Entire apartment","Entire home/apt",5,"2 baths",4,6,250,5,7,"2013-07-14","2019-08-06",91,9,9,9,10,9,9,"f",0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1
258273,"De Pijp - Rivierenbuurt",52.3542,4.8916,"Entire apartment","Entire home/apt",4,"1 bath",1,1,NA,30,8,"2012-05-21","2013-10-22",72,8,6,9,9,9,8,"f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
265349,"De Baarsjes - Oud-West",52.36048,4.86345,"Entire apartment","Entire home/apt",2,"1.5 baths",1,1,85,2,22,"2011-11-15","2019-05-02",94,10,9,10,9,9,9,"t",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1
272597,"Zuid",52.34633,4.85629,"Entire apartment","Entire home/apt",2,"1 bath",1,1,145,5,6,"2015-08-29","2018-04-08",100,10,10,10,10,9,9,"f",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
274706,"Centrum-Oost",52.36427,4.88523,"Entire apartment","Entire home/apt",4,"1 bath",2,2,200,3,35,"2012-05-01","2018-04-29",99,10,10,10,10,10,9,"f",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
277011,"De Baarsjes - Oud-West",52.3583,4.85909,"Entire apartment","Entire home/apt",2,"1 bath",1,1,125,4,20,"2012-06-22","2018-11-14",98,10,9,10,10,10,10,"t",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
282269,"Zuid",52.35017,4.85255,"Entire apartment","Entire home/apt",3,"1.5 baths",2,3,116,10,3,"2013-09-10","2015-09-15",100,10,10,10,10,10,10,"f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
286374,"Geuzenveld - Slotermeer",52.37899,4.83494,"Entire apartment","Entire home/apt",4,"1 bath",1,1,95,4,1,"2019-07-08","2019-07-08",100,10,10,10,10,6,10,"f",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1
297220,"De Pijp - Rivierenbuurt",52.35755,4.90144,"Entire apartment","Entire home/apt",2,"1 bath",1,1,195,6,90,"2012-01-02","2019-09-23",97,10,10,10,10,10,10,"f",0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1
